策划备注,模板编号,发送频道 1大喇叭 2系统 3公会,发送对象 1在线玩家 2个人 3公会 4公会官员,"发送模板 一个玩家{user} 攻击被攻击{attacker}、{defender} <font color='#000000'>xxx</font>
"
,id,message_channel,message_object,message_template
竞技场每轮开始公告,101,1,1,锵锵锵，本轮竞技正式开启，各路英雄不妨各凭本领，前来一战。
竞技场每轮结束公告,102,1,1,锵锵锵，本轮竞技偃旗息鼓，各路英雄有心试锋者，且待来日再战！
竞技场发放奖励公告,103,1,1,本轮竞技已结算完毕，请进入竞技场界面领取奖励。
竞技场幸运排名奖励公告,104,1,1,本轮竞技幸运排名所发放的奖励已邮寄到各位英雄的信箱，请点击查看。
竞技场终结连胜,105,1,1,{attacker}终结了{defender}的{consecutive}连胜纪录，涛升浪涌，代有新高，欢迎各位英雄踊跃挑战。
竞技场连胜10次,106,1,1,{user}在竞技中连胜十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
竞技场连胜20次,107,1,1,{user}在竞技中连胜二十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
竞技场连胜30次,108,1,1,{user}在竞技中连胜三十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
竞技场连胜50次,109,1,1,{user}在竞技中连胜五十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
竞技场连续上升200名次,110,1,1,{user}在竞技中连续上升二百名次，势如雷霆，所向披靡。
竞技场连续上升500名次,111,1,1,{user}在竞技中连续上升五百名次，势如雷霆，所向披靡。
竞技场连续上升800名次,112,1,1,{user}在竞技中连续上升八百名次，势如雷霆，所向披靡。
竞技场连续上升1000名次,113,1,1,{user}在竞技中连续上升一千名次，势如雷霆，所向披靡。
竞技场冠军被击败,114,2,1,{attacker}在竞技中战胜了冠军{defender}，再造顶峰，夺得首位！
竞技场前3名 第一,115,2,1,"本轮竞技场至此已宣告结束，根据诸位战绩，现排名如下:
              {user}在本轮竞技场中博得头筹。"
竞技场前3名 第二,116,2,1,{user}在本轮竞技场中位居榜眼。
竞技场前3名 第三,117,2,1,{user}在本轮竞技场中位居第三。
跨服竞技场连胜10次,201,1,1,{user}在跨服竞技中连胜十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
跨服竞技场连胜20次,202,1,1,{user}在跨服竞技中连胜二十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
跨服竞技场连胜30次,203,1,1,{user}在跨服竞技中连胜三十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
跨服竞技场连胜50次,204,1,1,{user}在跨服竞技中连胜五十场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
跨服竞技场连胜100次,205,1,1,{user}在跨服竞技中连胜一百场，至今无人可掠其锋，一路过关斩将，如贯日之虹，势不可挡。
